SISTEMA	DEPTO	SETOR         	SALARIO
RH  	DEPT.RH	SETOR_F	1.105,00
RH  	DEPT.RH	SETOR_F	1.625,00
RH  	DEPT.RH	SETOR_F	975
RH  	DEPT.RH	SETOR_F	1.901,25
RH  	DEPT.RH	SETOR_F	1.300,00
RH  	DEPT.RH	SETOR_F	1.852,50
RH  	DEPT.RH	SETOR_F	845
RH  	DEPT.RH	SETOR_F	2.210,00
RH  	DEPT.RH	SETOR_F	1.300,00
RH  	DEPT.RH	SETOR_F	1.300,00
RH  	DEPT.RH	SETOR_F	780
RH  	DEPT.RH	SETOR_F	2.990,00
RH  	DEPT.RH	SETOR_F	1.430,00
RH  	DEPT.RH	SETOR_F	3.640,00
RH  	DEPT.RH	SETOR_F	877,5
RH  	DEPT.RH	SETOR_F	1.300,00
RH  	DEPT.RH	SETOR_F	1.365,00
